,open,high,low,close,volume,pre_close,p_change,date,date_week,key,atr21,atr14
2017-09-27,348.78,351.22,340.5,340.98,244497,345.2,-1.222,20170927,2,176,13.625269843831143,13.903989227670102
2017-09-28,340.08,342.34,335.41,339.62,270890,340.98,-0.39899999999999997,20170928,3,177,13.276608933992078,13.355457330642666
2017-09-29,341.96,344.65,339.04,340.9,258115,339.62,0.377,20170929,4,178,12.57964445828795,12.322729686549218
2017-10-02,342.8,343.7,335.53,340.96,181455,340.9,0.018000000000000002,20171002,0,179,12.1787676751514,11.769032395005722
2017-10-03,336.07,348.5,331.5,352.14,342180,340.96,3.279,20171003,1,180,12.617061536980184,12.466494742342226
2017-10-04,351.12,358.58,349.61,354.98,341885,352.14,0.8059999999999999,20171004,2,181,13.07187413784312,13.153628776699932
2017-10-05,355.755,357.34,351.56,355.13,181812,354.98,0.042,20171005,3,182,12.408976471304774,12.170478273135773
2017-10-06,353.01,360.02,352.51,355.1,197859,355.13,-0.008,20171006,4,183,11.963614963137402,11.549081170048721
2017-10-09,349.57,351.66,342.67,342.79,300617,355.1,-3.467,20171009,0,184,12.008740876572066,11.670537014042608
2017-10-10,346.85,355.61,345.73,355.86,283727,342.79,3.813,20171010,1,185,11.815218974832058,11.431798745502935
2017-10-11,353.755,357.6,351.18,354.65,4500831,355.86,-0.34,20171011,2,186,12.087471800251125,11.882225579436945
2017-10-12,352.78,359.78,352.78,355.3,166571,354.65,0.183,20171012,3,187,11.624974356221296,11.231262168844005
2017-10-13,356.985,358.44,353.69,355.43,3540533,355.3,0.037000000000000005,20171013,4,188,10.999976678084007,10.367093879663253
2017-10-16,353.71,354.43,347.21,350.56,5375486,355.43,-1.37,20171016,0,189,10.73543334009959,10.063481362374366
2017-10-17,350.8,356.21,350.22,355.78,126969,350.56,1.489,20171017,1,190,10.30403030382495,9.520350514057046
2017-10-18,355.655,362.86,354.19,359.605,191765,355.78,1.075,20171018,2,191,10.485482096434477,9.890970445516526
2017-10-19,355.41,356.77,348.34,351.81,5061843,359.605,-2.168,20171019,3,192,10.298620085750219,9.696174386114127
2017-10-20,352.83,354.47,344.34,345.05,4930395,351.81,-1.921,20171020,4,193,10.750109173075641,10.438684467966256
2017-10-23,349.9,349.92,336.25,337.02,5747346,345.05,-2.327,20171023,0,194,11.18737197923156,11.12152653890461
2017-10-24,338.8,342.8,336.16,337.34,4488426,337.02,0.095,20171024,1,195,10.978519979509432,10.823989667050471
2017-10-25,336.7,337.5,323.56,325.84,8584204,337.34,-3.409,20171025,2,196,11.247745437804602,11.239457711443979
2017-10-26,327.78,330.23,323.2,326.17,5023500,325.84,0.10099999999999999,20171026,3,197,11.510677672406757,11.626196683251646
2017-10-27,319.75,324.59,316.66,320.87,6979704,326.17,-1.625,20171027,4,198,11.29879788277886,11.300037125484621
